no,date,time,traffic_type,variation_traffic_from,external_ip,internal_ip,protocol,packet_loss,throughput,latency,jitter,ping,packet_length
1,3/14/2024,9:33:04,Voice,VoIP,108.137.97.103,110.137.195.123,ICMP,0,13.11,9.76,4.25,24,64
2,3/14/2024,9:38:04,Voice,VoIP,108.137.97.103,110.137.195.123,ICMP,3.2,18.11,15.78,9.6,162,64
3,3/14/2024,9:41:40,Voice,VoIP,108.137.97.103,110.137.195.123,ICMP,0,12.13,10.76,9.39,21,64
4,3/14/2024,9:46:06,Voice,VoIP,108.137.97.103,110.137.195.123,ICMP,10.66,3.77,19.12,9.12,25,64
5,3/14/2024,12:23:50,Voice,VoIP,35.229.206.207,110.137.195.123,ICMP,0,10.02,61.97,2.49,14,64
6,3/14/2024,12:25:01,Video,Youtube,110.137.195.148,192.168.100.58,TCP,0,4.25,23,223,56,878
7,3/14/2024,12:27:23,Video ,TikTok,110.137.195.148,192.168.100.58,TCP,0,4.43,6,226,17,416
8,3/14/2024,12:35:45,Game,Xbox,110.137.195.148,192.168.100.58,TCP,0,3.31,229,246,282,4563
9,3/14/2024,12:37:33,Game,Steam,110.137.195.148,192.168.100.58,TCP,0,5.82,9,350,295,2791
10,3/14/2024,13:07:40,Game,Steam ,110.137.195.148,192.168.100.58,TCP,3,4.55,5,227,13,380.4536082
11,3/14/2024,13:08:02,Voice,VoIP,35.229.206.207,110.137.195.123,ICMP,5.5,9.67,62.37,1.94,22,64
12,3/14/2024,13:08:23,Video,Youtube,110.137.195.148,192.168.100.58,TCP,0,2.03,39,227,45,1064
13,3/14/2024,13:10:03,Game,Xbox,110.137.195.148,192.168.100.58,TCP,0,3.71,229,265,305,4766
14,3/14/2024,13:12:44,Video,TikTok,110.137.195.148,192.168.100.58,TCP,0,4.43,7,363,15,546
15,3/14/2024,13:34:04,Video ,Youtube ,110.137.195.148,192.168.100.58,TCP,0,3.35,37,197,46,898
16,3/14/2024,13:36:33,Game,Xbox,110.137.195.148,192.168.100.58,TCP,0,3.41,230,342,293,4756
17,3/14/2024,13:38:22,Video,TikTok,110.137.195.148,192.168.100.58,TCP,0,4.26,8,342,19,566
18,3/14/2024,13:40:11,Game ,Steam,110.137.195.148,192.168.100.58,TCP,0,4.75,6,342,20,556
19,3/14/2024,13:42:39,Video ,Youtube,110.137.195.148,192.168.100.58,TCP,0,3.34,39,340,52,1107
20,3/14/2024,13:45:44,Video,TiktTok,110.137.195.148,192.168.100.58,TCP,3,3.96,6,340,14,510.9484536
21,3/14/2024,13:49:23,Game,Xbox,110.137.195.148,192.168.100.58,TCP,0,3.28,229,237,295,4658
22,3/14/2024,13:50:11,Game,Steam,110.137.195.148,192.168.100.58,TCP,3,4.21,5,237,13,390.4536082
23,3/14/2024,13:59:23,Voice,VoIP,35.229.206.207,110.137.195.123,ICMP,0.84,13.45,62.07,2.9,25,64
24,3/14/2024,14:02:07,Video,TikTok,110.137.195.148,192.168.100.58,TCP,0,3.76,8,367,14,551
25,3/14/2024,14:04:45,Video,Youtube,110.137.195.148,192.168.100.58,TCP,0,3.05,39,358,44,1061
26,3/15/2024,20:58:12,Video,Youtube,110.137.195.148,192.168.100.58,TCP,0,1.82,39,48,50,799
27,3/15/2024,21:05:09,Video,TikTok,110.137.195.148,192.168.100.58,TCP,0,1.35,6,263,25,517
28,3/15/2024,21:09:16,Game,Steam,110.137.195.148,192.168.100.58,TCP,0,2.57,14,246,23,556
29,3/15/2024,21:14:40,Game,Xbox,110.137.195.148,192.168.100.58,TCP,0,3.33,229,244,297,4681
30,3/15/2024,21:17:13,Video,Youtube,110.137.195.148,192.168.100.58,TCP,0,3.15,36,341,44,1017
31,3/15/2024,21:18:03,Game,Xbox,110.137.195.148,192.168.100.58,TCP,0,3.52,234,51,298,4541
32,3/15/2024,21:22:33,Video,TikTok,110.137.195.148,192.168.100.58,TCP,0,5.23,6,245,14,411
33,3/15/2024,21:24:40,Game,Steam,110.137.195.148,192.168.100.58,TCP,0,5.72,4,366,13,506
34,3/15/2024,21:25:09,Game,Xbox,110.137.195.148,192.168.100.58,TCP,0,4.02,229,251,292,4648
35,3/15/2024,21:27:03,Video,Youtube,110.137.195.148,192.168.100.58,TCP,0,3.49,39,374,46,1093
36,3/15/2024,21:28:41,Game,Steam,110.137.195.148,192.168.100.58,TCP,3,5.44,5,375,32,685.1546392
37,3/15/2024,21:30:30,Video,TikTok,110.137.195.148,192.168.100.58,TCP,0,4.93,6,253,15,427
38,3/15/2024,21:31:33,Video,Youtube,110.137.195.148,192.168.100.58,TCP,0,3.92,39,362,45,1073
