no,date,time,traffic_type,variation_traffic_from,external_ip,internal_ip,protocol,packet_loss,throughput,latency,jitter,ping,packet_length
1,03/15/2024,11:40:28,Voice,VoIP,135.124.220.73,107.170.129.168,TCP,2.47,8.32,179.57,84.98,12,1259
2,03/14/2024,21:07:22,Voice,VoIP,121.86.238.49,184.123.90.213,ICMP,1.43,1.82,266.59,28.55,98,1100
3,03/14/2024,04:44:52,Game,Steam,132.44.210.192,122.101.97.43,TCP,2.76,2.31,166.68,1.44,86,4760
4,03/15/2024,18:56:04,Game,Xbox,132.117.215.197,100.101.169.109,TCP,3.23,1.8,135.19,64.51,195,1420
5,03/14/2024,18:15:10,Voice,VoIP,130.193.187.99,167.73.235.108,TCP,1.93,3.68,208.9,237.52,275,2434
6,03/15/2024,05:26:42,Game,Xbox,170.1.234.118,147.5.37.157,ICMP,2.0,18.25,57.0,141.05,18,381
7,03/15/2024,15:55:02,Game,Xbox,105.76.36.182,149.241.78.48,TCP,1.03,12.01,158.58,169.3,146,259
8,03/15/2024,08:45:02,Voice,VoIP,132.40.154.208,104.210.149.224,TCP,3.54,17.12,290.7,67.16,57,449
9,03/15/2024,11:02:36,Game,Steam,125.144.69.81,180.130.76.207,TCP,1.35,14.45,39.15,223.18,201,4996
10,03/14/2024,02:21:54,Video,YouTube,156.52.203.212,164.201.222.74,ICMP,3.46,10.38,129.49,144.1,189,3717
11,03/15/2024,01:40:24,Video,TikTok,133.137.30.243,168.36.5.225,TCP,3.05,8.37,211.37,171.09,267,4238
12,03/15/2024,08:06:04,Voice,VoIP,133.9.238.139,114.189.31.251,ICMP,1.3,15.62,227.51,24.74,117,1278
13,03/15/2024,20:48:30,Game,Xbox,169.222.254.51,148.93.1.251,ICMP,2.03,8.59,268.7,225.53,108,290
14,03/15/2024,16:58:06,Video,TikTok,183.54.134.65,189.49.57.181,TCP,1.31,12.86,98.21,166.47,249,1927
15,03/14/2024,17:16:00,Game,Xbox,182.4.74.135,193.101.131.35,ICMP,2.27,14.17,237.78,170.02,258,552
16,03/15/2024,07:29:45,Video,TikTok,170.169.100.110,165.116.58.242,ICMP,0.87,10.22,221.94,3.02,103,1843
17,03/15/2024,03:06:51,Game,Xbox,153.6.73.42,128.84.49.197,ICMP,1.79,4.05,133.02,67.64,116,3455
18,03/15/2024,14:08:46,Voice,VoIP,142.42.90.184,123.226.223.170,ICMP,1.27,9.39,286.31,168.41,17,4762
19,03/15/2024,17:11:00,Video,YouTube,188.62.39.205,127.84.159.42,ICMP,0.15,13.5,99.21,291.64,279,1447
20,03/14/2024,19:28:48,Voice,VoIP,140.147.246.97,150.162.144.178,TCP,2.35,17.41,201.44,46.41,164,83
21,03/15/2024,22:55:57,Video,YouTube,133.230.83.198,129.224.209.5,ICMP,4.7,3.15,178.51,244.76,144,89
22,03/15/2024,15:18:17,Video,TikTok,107.141.140.69,119.209.127.43,ICMP,1.68,17.34,243.0,258.99,280,801
23,03/15/2024,17:19:24,Game,Xbox,122.97.142.141,161.105.186.77,TCP,1.11,4.73,43.27,168.54,158,4891
24,03/14/2024,20:00:20,Voice,VoIP,196.123.144.51,101.15.45.182,TCP,4.3,15.43,228.71,256.12,186,4167
25,03/14/2024,20:05:06,Game,Xbox,165.16.121.92,131.85.90.39,TCP,2.18,11.36,113.56,4.22,272,1771
26,03/15/2024,23:09:36,Voice,VoIP,136.106.155.252,152.58.109.54,TCP,4.48,2.88,287.18,31.92,127,2068
27,03/15/2024,13:05:27,Video,YouTube,150.202.238.107,136.209.161.38,TCP,4.58,6.33,241.87,39.71,270,1591
28,03/15/2024,22:44:42,Voice,VoIP,149.172.113.9,147.197.54.233,ICMP,4.35,6.28,221.47,268.65,185,2528
29,03/15/2024,17:53:12,Game,Xbox,105.35.115.86,183.94.117.62,ICMP,1.94,18.23,184.66,102.13,136,2677
30,03/14/2024,20:25:04,Voice,VoIP,100.118.172.81,101.96.153.211,TCP,0.68,16.4,224.84,35.4,92,3092
31,03/15/2024,17:43:14,Voice,VoIP,138.50.12.163,158.197.122.219,TCP,4.51,12.17,132.56,101.41,255,1727
32,03/14/2024,05:47:00,Voice,VoIP,161.225.233.231,105.10.91.127,ICMP,0.97,3.49,25.03,107.51,149,881
33,03/14/2024,22:06:48,Voice,VoIP,167.194.255.102,169.86.237.148,ICMP,1.47,2.31,104.11,242.67,262,2647
34,03/15/2024,19:30:29,Voice,VoIP,159.152.26.62,141.241.39.225,ICMP,2.77,18.28,137.46,233.89,167,940
35,03/15/2024,01:07:29,Game,Steam,163.235.90.88,175.166.21.102,ICMP,2.52,11.82,268.68,24.71,191,2235
36,03/14/2024,01:35:36,Game,Steam,189.67.88.112,175.243.156.150,TCP,1.49,16.04,9.14,230.45,28,1523
37,03/15/2024,13:33:15,Video,YouTube,192.58.98.205,109.164.202.14,ICMP,3.82,10.92,289.05,191.47,125,3546
38,03/14/2024,21:18:30,Voice,VoIP,142.229.117.10,121.119.111.186,ICMP,3.92,3.32,96.51,218.03,69,998
39,03/14/2024,04:51:04,Voice,VoIP,168.190.109.213,128.131.77.111,ICMP,3.31,19.61,8.7,127.9,30,447
40,03/15/2024,22:00:43,Video,YouTube,176.207.248.85,148.80.140.102,TCP,1.32,10.75,106.06,112.02,51,2287
41,03/15/2024,04:11:13,Voice,VoIP,106.57.108.230,175.172.158.10,ICMP,2.65,6.79,203.18,97.34,158,3138
42,03/14/2024,06:01:07,Voice,VoIP,182.152.50.250,130.238.194.59,TCP,2.34,11.96,241.95,108.55,14,2899
43,03/15/2024,17:42:33,Video,YouTube,110.254.116.124,137.24.205.195,TCP,4.47,19.64,77.54,2.17,79,4936
44,03/14/2024,11:08:43,Game,Xbox,187.27.172.35,125.21.243.119,ICMP,1.28,15.14,76.39,241.47,257,1837
45,03/15/2024,04:40:04,Video,TikTok,194.37.175.110,167.242.78.206,TCP,4.57,8.85,221.8,7.87,70,2371
46,03/14/2024,12:43:14,Video,TikTok,183.34.236.190,118.62.191.135,ICMP,1.5,7.85,234.01,233.57,52,4932
47,03/14/2024,18:41:27,Voice,VoIP,118.81.118.215,137.144.171.27,TCP,0.25,5.24,49.73,174.01,168,984
48,03/14/2024,15:12:53,Video,YouTube,121.139.29.225,132.145.194.82,ICMP,0.3,11.14,38.42,38.77,71,982
49,03/14/2024,12:17:06,Video,YouTube,103.104.142.128,196.31.38.185,TCP,0.35,9.36,100.18,1.69,105,1919
50,03/15/2024,02:59:15,Game,Steam,152.188.173.87,176.160.101.176,TCP,1.55,16.96,242.84,95.61,187,2366
51,03/15/2024,06:46:07,Game,Steam,168.252.63.121,174.232.169.124,ICMP,1.35,17.11,210.39,128.82,265,3516
52,03/15/2024,06:23:03,Video,YouTube,195.219.147.102,178.131.223.105,TCP,0.34,4.19,152.6,19.82,69,1796
53,03/15/2024,15:15:53,Voice,VoIP,151.241.205.193,126.57.82.145,ICMP,4.17,1.47,160.0,99.99,228,2514
54,03/15/2024,11:38:42,Video,TikTok,123.52.117.71,191.2.2.89,TCP,3.05,14.0,125.56,147.8,76,2983
55,03/14/2024,20:02:14,Game,Xbox,106.202.233.116,151.75.253.213,ICMP,1.14,8.33,92.13,254.15,263,853
56,03/14/2024,08:07:25,Game,Steam,167.19.25.37,120.69.46.55,ICMP,4.06,7.18,9.39,199.72,242,1603
57,03/14/2024,17:10:08,Game,Xbox,174.240.38.226,147.62.238.126,TCP,1.82,13.34,201.57,133.39,137,3201
58,03/14/2024,23:46:25,Video,TikTok,139.170.211.60,155.182.161.215,ICMP,3.85,13.27,270.67,65.58,199,3583
59,03/15/2024,19:40:23,Game,Steam,181.252.223.23,129.165.24.175,TCP,4.29,17.24,62.81,294.74,234,629
60,03/15/2024,15:05:14,Game,Steam,179.83.181.150,194.248.176.41,ICMP,1.95,8.55,35.59,6.23,147,2398
61,03/14/2024,08:27:34,Game,Xbox,156.115.193.187,133.223.95.57,ICMP,0.12,18.37,268.11,237.92,233,2752
62,03/15/2024,06:55:45,Video,TikTok,196.216.117.39,155.97.194.178,ICMP,3.76,10.65,27.76,217.64,102,3151
63,03/14/2024,07:06:18,Video,TikTok,176.216.241.190,104.154.162.179,ICMP,1.83,14.09,196.28,86.87,40,1165
64,03/15/2024,14:13:47,Voice,VoIP,117.102.91.189,167.103.138.56,ICMP,3.33,8.59,35.71,60.36,67,4303
65,03/14/2024,08:06:41,Game,Xbox,131.96.231.46,164.166.238.111,TCP,2.87,11.25,150.02,119.68,97,935
66,03/14/2024,23:50:04,Voice,VoIP,198.127.232.118,176.138.126.203,TCP,1.09,7.58,199.82,167.35,295,2671
67,03/15/2024,22:20:12,Voice,VoIP,111.235.60.87,126.103.216.6,TCP,1.7,8.94,215.68,125.91,77,798
68,03/15/2024,10:58:24,Video,TikTok,150.35.60.57,140.195.38.106,ICMP,4.8,8.4,16.47,2.3,238,2792
69,03/15/2024,04:48:53,Voice,VoIP,148.33.0.238,105.168.66.134,TCP,0.53,15.96,47.02,205.64,201,3594
70,03/14/2024,01:19:19,Voice,VoIP,142.94.205.213,149.21.111.175,ICMP,0.93,1.16,23.2,42.67,51,4367
71,03/15/2024,11:25:40,Video,TikTok,142.14.193.15,110.118.236.127,ICMP,1.14,3.43,100.46,110.42,201,4169
72,03/15/2024,20:53:44,Video,YouTube,153.153.41.69,142.202.135.113,TCP,4.36,10.28,209.23,236.48,204,854
73,03/15/2024,22:55:18,Game,Steam,160.53.59.177,124.73.61.229,TCP,3.52,18.27,196.3,42.29,139,2410
